Sentence ID,句子开头,句子结尾,新音频时长(s),是否完整,是否带入相邻句,状态
a06-p04-s04,"He was naturally more eloquent, had a ready plenty of words;",own more by his fluency than by the strength of his reasons.,12.121,待人工听音,待人工听音,needsReview
a06-p04-s05,"As we parted without settling the point, and were not to see","y arguments in writing, which I copied fair and sent to him.",14.054,待人工听音,待人工听音,needsReview
a06-p04-s06,"He answered, and I replied.","He answered, and I replied.",4.127,待人工听音,待人工听音,needsReview
a06-p04-s07,"Three or four letters of a side had passed, when my father h","ed, when my father happened to find my papers and read them.",7.236,待人工听音,待人工听音,needsReview
a06-p04-s08,"Without entering into the discussion, he took occasion to ta"," perspicuity, of which he convinced me by several instances.",26.488,待人工听音,待人工听音,needsReview
a06-p04-s09,"I saw the justice of his remark, and thence grew more attent","anner in writing, and determined to endeavor at improvement.",10.553,待人工听音,待人工听音,needsReview
a06-p05-s01,About this time I met with an odd volume of The Spectator.,About this time I met with an odd volume of The Spectator.,7.367,待人工听音,待人工听音,needsReview
a06-p05-s02,It was the third.,It was the third.,4.415,待人工听音,待人工听音,needsReview
a06-p05-s03,I had never before seen any of them.,I had never before seen any of them.,5.433,待人工听音,待人工听音,needsReview
a06-p05-s04,"I bought it, read it over and over, and was much delighted w","t it, read it over and over, and was much delighted with it.",5.016,待人工听音,待人工听音,needsReview
a06-p05-s05,"I thought the writing excellent, and wished, if possible, to","e writing excellent, and wished, if possible, to imitate it.",3.631,待人工听音,待人工听音,needsReview
a06-p05-s06,"With this view I took some of the papers, and, making short ","ssed before, in any suitable words that should come to hand.",24.790,待人工听音,待人工听音,needsReview
a06-p05-s07,"Then I compared my Spectator with the original, discovered s"," original, discovered some of my faults, and corrected them.",8.098,待人工听音,待人工听音,needsReview
a06-p05-s08,"But I found I wanted a stock of words, or a readiness in rec","ed to fix that variety in my mind, and make me master of it.",36.937,待人工听音,待人工听音,needsReview
a06-p05-s09,Therefore I took some of the tales and turned them into vers,"had pretty well forgotten the prose, turned them back again.",12.121,待人工听音,待人工听音,needsReview
a06-p05-s10,I also sometimes jumbled my collections of hints into confus,e I began to form the full sentences and complete the paper.,14.994,待人工听音,待人工听音,needsReview
a06-p05-s11,This was to teach me method in the arrangement of thoughts.,This was to teach me method in the arrangement of thoughts.,3.553,待人工听音,待人工听音,needsReview
a06-p05-s12,"By comparing my work afterward with the original, I discover","olerable English writer, of which I was extremely ambitious.",31.504,待人工听音,待人工听音,needsReview
a06-p05-s13,"My time for these exercises and for reading was at night, af","I could not, as it seemed to me, afford time to practice it.",30.903,待人工听音,待人工听音,needsReview
a07-p01-s01,"For most of the six million years of human evolution, all hu","es, scattered over the landscape as families or small bands.",18.834,待人工听音,待人工听音,needsReview
a07-p01-s02,"Only within the past 6,000 years, a small fraction of human "," history, did some of our ancestors come together in cities.",10.867,待人工听音,待人工听音,needsReview
a07-p01-s03,But today more than half the world's people live in these ne,"ettings, some of which have tens of millions of inhabitants.",11.624,待人工听音,待人工听音,needsReview
a07-p02-s01,Urban life involves trade-offs.,Urban life involves trade-offs.,3.422,待人工听音,待人工听音,needsReview
a07-p02-s02,We may gain big benefits in return for suffering big disadva,gain big benefits in return for suffering big disadvantages.,6.348,待人工听音,待人工听音,needsReview
a07-p02-s03,Let's consider two of them: the trade-off between individual,"erests, and the trade-off between social ties and anonymity.",12.617,待人工听音,待人工听音,needsReview
a07-p03-s01,"To understand the issue of freedom, take first the city of S",t one of the world's most densely populated micro-countries.,12.774,待人工听音,待人工听音,needsReview
a07-p03-s02,Singapore's nearly six million people are packed into about , square miles—230 times the average U.S. population density.,13.427,待人工听音,待人工听音,needsReview
a07-p03-s03,"It's an Asian financial center, a major port on one of the w","tween two giant, powerful neighbors, Indonesia and Malaysia.",15.491,待人工听音,待人工听音,needsReview
a07-p03-s04,"Singapore was part of Malaysia until 1965, when economic and","5, when economic and racial tensions spurred its separation.",9.091,待人工听音,待人工听音,needsReview
a07-p03-s05,But Singapore depends on Malaysia for most of its water and , and can't afford to make mistakes or provoke its neighbors.,12.669,待人工听音,待人工听音,needsReview
a07-p04-s01,"So Singapore's government monitors its citizens closely, to ","ely, to make sure that individuals don't harm the community.",10.580,待人工听音,待人工听音,needsReview
a07-p04-s02,Inspectors check for water standing in each household's pots, furnish breeding sites for disease-transmitting mosquitoes.,12.199,待人工听音,待人工听音,needsReview
a07-p04-s03,Smart-technology sensors measure (or will measure) the traff," car, and the temperatures of and shadows cast by buildings.",14.602,待人工听音,待人工听音,needsReview
a07-p04-s04,They also will track the water and electricity consumption o,d will note the time whenever a household toilet is flushed.,10.214,待人工听音,待人工听音,needsReview
a07-p04-s05,Americans may view such measures with horror.,Americans may view such measures with horror.,6.661,待人工听音,待人工听音,needsReview
a07-p04-s06,"But for Singapore's citizens, it's the bargain that they hav","turn for first-class living standards, health, and security.",15.491,待人工听音,待人工听音,needsReview
a07-p05-s01,"Next consider Germany's cities, also densely populated.","Next consider Germany's cities, also densely populated.",5.590,待人工听音,待人工听音,needsReview
a07-p05-s02,Local governments have rules about the shapes and colors of , of trees that they can or can't cut down on their property.,17.058,待人工听音,待人工听音,needsReview
a07-p05-s03,"To obtain a fishing license, Germans must attend many hours ","many hours of fishing classes, then pass a 60-question exam.",10.789,待人工听音,待人工听音,needsReview
a07-p05-s04,Most Americans would bristle at such restrictions.,Most Americans would bristle at such restrictions.,5.251,待人工听音,待人工听音,needsReview
a07-p05-s05,But benefits to German communities include beautiful regiona,"vernment support for the arts, and healthy fish populations.",13.897,待人工听音,待人工听音,needsReview
a07-p06-s01,"At the opposite extreme comes my own city of Los Angeles, wh",ights of the individual property owner are prized as sacred.,12.356,待人工听音,待人工听音,needsReview
a07-p06-s02,"The result is a free-for-all, in which many individuals and ",which many individuals and communities suffer disadvantages.,6.531,待人工听音,待人工听音,needsReview
a07-p06-s03,Almost any style of house is permissible; local architectura,s permissible; local architectural character is nonexistent.,8.908,待人工听音,待人工听音,needsReview
a07-p06-s04,"Tree cover is vanishing, temperatures are rising, and landow",d dirt and sprayed pesticides end up on neighbors' property.,12.147,待人工听音,待人工听音,needsReview
a07-p06-s05,"To fish in the local bay waters, anyone can buy a fishing li",se—no questions asked—so of course fish populations decline.,10.553,待人工听音,待人工听音,needsReview
a07-p07-s01,"The outcomes of trade-offs differ for Singapore, Germany, an",ent geographies and histories have led to different customs.,13.767,待人工听音,待人工听音,needsReview
a07-p07-s02,"Population density is highest in Singapore, intermediate in ","Germany, lowest in the United States (including California).",10.789,待人工听音,待人工听音,needsReview
a07-p07-s03,China—whence the ancestors of most of Singapore's population,"r two millennia, the United States for just a few centuries.",15.909,待人工听音,待人工听音,needsReview
a07-p07-s04,Chinese traditional farming is communal; Germans have close-," settlements had self-sufficient, widely scattered families.",13.531,待人工听音,待人工听音,needsReview
a07-p07-s05,The cultural legacies of those differences live on today.,The cultural legacies of those differences live on today.,6.740,待人工听音,待人工听音,needsReview
a07-p08-s01,Another issue of urban life is the trade-off between social ,ban life is the trade-off between social ties and anonymity.,8.124,待人工听音,待人工听音,needsReview
a07-p08-s02,Traditional living arrangements still practiced today in rur,ble those formerly practiced in pre-urban Western societies.,16.797,待人工听音,待人工听音,needsReview
a07-p08-s03,New Guinea villagers live out their lives where they were bo,onstantly surrounded by lifelong friends and social support.,10.527,待人工听音,待人工听音,needsReview
a07-p09-s01,"A first reaction of many lonely, urban Americans is: How hea","ny lonely, urban Americans is: How heartwarmingly wonderful!",9.195,待人工听音,待人工听音,needsReview
a07-p09-s02,"When New Guinea villagers move to cities, they find themselv","s, their friends few or recent or scattered across the city.",11.755,待人工听音,待人工听音,needsReview
a07-p09-s03,"The frequent results are unhappy isolation, decline of socia","decline of social support, and proliferation of urban crime.",10.057,待人工听音,待人工听音,needsReview
a07-p10-s01,"Still, we American city dwellers shouldn't romanticize tradi",ouldn't romanticize traditional village living arrangements.,8.098,待人工听音,待人工听音,needsReview
a07-p10-s02,My New Guinea friends tell me that those arrangements are al,and limit individuals' abilities to realize their potential.,14.211,待人工听音,待人工听音,needsReview
a07-p10-s03,"In New Guinea villages, everybody knows, constantly watches,","hes, and incessantly discusses what everybody else is doing.",10.397,待人工听音,待人工听音,needsReview
a07-p11-s01,"As a result, a New Guinea friend who spent years living in a",n members asking her for money and bewailing their troubles.,25.051,待人工听音,待人工听音,needsReview
a07-p11-s02,New Guineans have learned to appreciate the modern urban inv, small luxuries without becoming targets of village comment.,21.786,待人工听音,待人工听音,needsReview
a07-p11-s03,"Thus, New Guineans recognize drawbacks as well as heartwarmi", drawbacks as well as heartwarming benefits of village life.,8.385,待人工听音,待人工听音,needsReview
a07-p11-s04,"They also understand the benefits, not just the pains, of ur","rstand the benefits, not just the pains, of urban anonymity.",8.516,待人工听音,待人工听音,needsReview
a07-p12-s01,It all comes down to compromises.,It all comes down to compromises.,1.489,待人工听音,待人工听音,needsReview
a07-p12-s02,"As the world becomes increasingly urban, will all of us be f", all of us be forced to adopt more of Singapore's solutions?,11.807,待人工听音,待人工听音,needsReview
a07-p12-s03,If a government meter that records every flushing of your to,"ffluence, and beautiful surroundings, what would you choose?",15.804,待人工听音,待人工听音,needsReview
a08-p01-s01,I watch a lot of competitive cooking shows.,I watch a lot of competitive cooking shows.,5.303,待人工听音,待人工听音,needsReview
a08-p01-s02,"And it seems like whenever there is a ""bizarre"" or ""exotic"" "," and childhood, for example 100-year-old egg or stinky tofu.",13.009,待人工听音,待人工听音,needsReview
a08-p02-s01,Mainstream media has made a spectacle out of foods from seem,"bserved a lot of White chefs create ""Asian-inspired"" dishes.",11.755,待人工听音,待人工听音,needsReview
a08-p02-s02,"When going out to eat, I notice many ""Asian-fusion"" themed r",nent of Asia and throw them together on both plate and menu.,17.502,待人工听音,待人工听音,needsReview
a08-p03-s01,"What is ""Asian-inspired"" or ""Asian-fusion?""","What is ""Asian-inspired"" or ""Asian-fusion?""",4.258,待人工听音,待人工听音,needsReview
a08-p03-s02,I have a sinking suspicion it's not like when my mom made me,"n my mom made me sushi with cucumbers, lunch meat, and eggs.",7.941,待人工听音,待人工听音,needsReview
a08-p03-s03,Or toast with mayonnaise and pork sung.,Or toast with mayonnaise and pork sung.,1.254,待人工听音,待人工听音,needsReview
a08-p03-s04,"People used to make fun of the food I eat, and now suddenly,", Spam fried rice is selling at a hip new restaurant for $16.,13.767,待人工听音,待人工听音,needsReview
a08-p03-s05,It's frustrating when my culture gets consumed and appropria,re gets consumed and appropriated as both trend and tourism.,7.471,待人工听音,待人工听音,needsReview
a08-p03-s06,"Yet when it comes to food, what's appropriation and what's n",s appropriation and what's not can be tricky to think about.,7.706,待人工听音,待人工听音,needsReview
a08-p04-s01,Cultural appropriation is when a dominant culture adopts par, parts of another culture from people that it has oppressed.,7.314,待人工听音,待人工听音,needsReview
a08-p04-s02,The dominant culture can try the food and love the food with, love the food without ever having to experience oppression.,9.352,待人工听音,待人工听音,needsReview
a08-p04-s03,Yet food appropriation isn't just eating food from someone e,priation isn't just eating food from someone else's culture.,7.445,待人工听音,待人工听音,needsReview
a08-p04-s04,It might not be appropriation if you're white and you love e,white and you love eating dumplings and hand-pulled noodles.,9.064,待人工听音,待人工听音,needsReview
a08-p04-s05,Enjoying food from another culture is perfectly fine.,Enjoying food from another culture is perfectly fine.,4.389,待人工听音,待人工听音,needsReview
a08-p04-s06,"But, food is appropriated when people from the dominant cult","lize it, and when they hoard access to that particular food.",13.166,待人工听音,待人工听音,needsReview
a08-p05-s01,When a dominant culture reduces another community to its cui,"stood with a bite of food, that's where it gets problematic.",16.562,待人工听音,待人工听音,needsReview
a08-p05-s02,It's also harmful when the dominant culture controls the eco,s to produce that food for their own consumption and profit.,11.755,待人工听音,待人工听音,needsReview
a08-p06-s01,Here are some dining behaviors that are culturally appropria,ors that are culturally appropriative when it comes to food.,8.098,待人工听音,待人工听音,needsReview
a08-p07-s01,"Often, when we talk about ""ethnic"" food, we're not referring",", we're not referring to French, German, or Italian cuisine.",6.687,待人工听音,待人工听音,needsReview
a08-p07-s02,"Usually, we're talking about Thai, Vietnamese, Indian, Ethio","n food—places where food is cooked by the ""brownest"" people.",11.755,待人工听音,待人工听音,needsReview
a08-p07-s03,While food from Western Europe is still connected to ethnic ,ies that are perceived as exotic and foreign to White folks.,16.953,待人工听音,待人工听音,needsReview
a08-p08-s01,While food can connect people together and serve as a way to,ens is that food becomes the only symbol for certain places.,12.669,待人工听音,待人工听音,needsReview
a08-p08-s02,"Japan is reduced to ramen and sushi, Mexico is reduced to ta","o is reduced to tacos, India is reduced to curry, and so on.",7.340,待人工听音,待人工听音,needsReview
a08-p08-s03,Entire regions become reduced to menu options and ingredient,y thought to the many different communities in these places.,12.904,待人工听音,待人工听音,needsReview
a08-p08-s04,There's a loss of complexity and cultures end up getting hom, loss of complexity and cultures end up getting homogenized.,5.695,待人工听音,待人工听音,needsReview
a08-p09-s01,"In seeking ""authentic"" food, we're hoping for a truly immers",oping for a truly immersive experience into another culture.,8.229,待人工听音,待人工听音,needsReview
a08-p09-s02,"The food experience, whether in a restaurant in someone's ho",present a larger experience with that culture and community.,13.349,待人工听音,待人工听音,needsReview
a08-p09-s03,"Our perceptions of what is ""authentic"" stem from preconceive","nceived ""exotic narratives"" of that culture and communities.",9.273,待人工听音,待人工听音,needsReview
a08-p09-s04,"For example, it's not uncommon to hear someone say: ""Oh, dur","trip to Asia, I had the most authentic [fill in the blank].""",10.815,待人工听音,待人工听音,needsReview
a08-p10-s01,Food culture has travelled in messy and complicated ways acr,as travelled in messy and complicated ways across the globe.,6.531,待人工听音,待人工听音,needsReview
a08-p10-s02,The impacts of historical and continuing colonization are de,"ethnic"" cuisines are connected to histories of colonization.",14.315,待人工听音,待人工听音,needsReview
a08-p10-s03,"For example, the use of Spam in different parts of Asia and ","r Spam in hot pot, are a direct result of U.S. colonization.",13.740,待人工听音,待人工听音,needsReview
a08-p10-s04,"Of course, this is not necessarily a bad thing in itself: If"," itself: If you love a dish and think it's delicious, great!",8.438,待人工听音,待人工听音,needsReview
a08-p10-s05,If you're searching for a place that serves a particular dis,"ching for a place that serves a particular dish, also great!",5.616,待人工听音,待人工听音,needsReview
a08-p10-s06,"However, seeking ""authenticity"" does not always show respect",oes not always show respect for the food of another culture.,9.064,待人工听音,待人工听音,needsReview
a08-p10-s07,"The idea of the ""authentic"" food experience is separated fro","f the ""authentic"" food experience is separated from reality.",4.937,待人工听音,待人工听音,needsReview
a08-p10-s08,It also freezes a culture in a particular place in time.,It also freezes a culture in a particular place in time.,3.291,待人工听音,待人工听音,needsReview
a08-p11-s01,When food gets disconnected from the communities and places , forgetting about the oppression faced by those communities.,15.047,待人工听音,待人工听音,needsReview
a08-p11-s02,"Folks might love Mexican food, but not care about different ", immigration policy that impact members from that community.,11.990,待人工听音,待人工听音,needsReview
a08-p11-s03,There are also really hurtful stereotypes connected to food ,called things like smelly because of their food consumption.,13.871,待人工听音,待人工听音,needsReview
a08-p12-s01,Eating food from another culture in isolation from that cult,ans that we're just borrowing the pieces that are enjoyable.,12.487,待人工听音,待人工听音,needsReview
a08-p12-s02,We might not know how Kung Pao chicken also reflects a story,behind curry and the homogenization of South Asian cultures.,14.420,待人工听音,待人工听音,needsReview
a08-p13-s01,"More and more now, part of chefs' training also involves tra",to learn about different cooking techniques and ingredients.,11.050,待人工听音,待人工听音,needsReview
a08-p13-s02,Because of this they're opening up fancy restaurants that re,"ies that rely on affordable, local products and ingredients.",14.550,待人工听音,待人工听音,needsReview
a08-p13-s03,"As a result, food culture gets re-colonized by chefs seeking","o make that ""authentic"" street food they tried more elegant.",9.169,待人工听音,待人工听音,needsReview
a08-p13-s04,"Often, these restaurants are inaccessible to the communities", inaccessible to the communities they're appropriating from.,8.385,待人工听音,待人工听音,needsReview
a08-p13-s05,This is different from when members from that community repu,s from that community repurpose their own traditional foods.,7.863,待人工听音,待人工听音,needsReview
a08-p14-s01,One of the questions that both chefs and diners should ask t,"ers should ask themselves is, who is laboring and profiting?",8.803,待人工听音,待人工听音,needsReview
a08-p14-s02,Where are these recipes from?,Where are these recipes from?,2.926,待人工听音,待人工听音,needsReview
a08-p14-s03,Who is this cuisine profiting off?,Who is this cuisine profiting off?,3.971,待人工听音,待人工听音,needsReview
a08-p14-s04,Is it a group that is historically and currently oppressed?,Is it a group that is historically and currently oppressed?,4.833,待人工听音,待人工听音,needsReview
a08-p15-s01,Another problem is when ingredients get reappropriated.,Another problem is when ingredients get reappropriated.,5.329,待人工听音,待人工听音,needsReview
a08-p15-s02,Corporations have now repackaged local food from different p, no longer accessible to the local communities they're from.,11.624,待人工听音,待人工听音,needsReview
a08-p15-s03,"For example, quinoa, which is native to Bolivia is now too e",ative to Bolivia is now too expensive for communities there.,7.811,待人工听音,待人工听音,needsReview
a08-p15-s04,"Last year, Whole Foods declared collard greens the ""new kale","st year, Whole Foods declared collard greens the ""new kale.""",5.747,待人工听音,待人工听音,needsReview
a08-p15-s05,"Coconuts have now been packaged as high-end, luxury water.","Coconuts have now been packaged as high-end, luxury water.",5.538,待人工听音,待人工听音,needsReview
a08-p15-s06,"Tofu, soy, and tempeh are now staples at organic, healthy fo","and tempeh are now staples at organic, healthy food markets.",5.851,待人工听音,待人工听音,needsReview
a08-p16-s01,"This is food gentrification, where communities can no longer",nger afford their own cuisines and sustain their traditions.,9.718,待人工听音,待人工听音,needsReview
a08-p17-s01,Food is an important part of communities and cultures—the re,re also means that food can be used as a tool of oppression.,13.558,待人工听音,待人工听音,needsReview
a08-p18-s01,It's okay if you love the taco truck outside of your workpla,"eating sushi, or enjoy trying out different recipes at home.",9.927,待人工听音,待人工听音,needsReview
a08-p18-s02,I'm not against trying and cooking food outside your own cul,"ng and cooking food outside your own culture—I love it, too.",6.400,待人工听音,待人工听音,needsReview
a08-p19-s01,"However, it's critical for us to reflect on how we perceive ","ink about the relationships between food, people, and power.",13.035,待人工听音,待人工听音,needsReview
a08-p20-s01,Colonization and gentrification are directly related to the ,ification are directly related to the appropriation of food.,7.314,待人工听音,待人工听音,needsReview
a08-p20-s02,We need to begin educating ourselves on issues that impact t,at impact the communities that we're getting our meals from.,8.934,待人工听音,待人工听音,needsReview
a09-p01-s01,"In all my years of travel, from twisting off bits of pastry ", those places well to find my way through abbreviated stays.,25.522,待人工听音,待人工听音,needsReview
a09-p01-s02,"I plan my trips like a cultural interloper, making sure to h","ly-here"" greatest hits like the tourist that I very much am.",10.632,待人工听音,待人工听音,needsReview
a09-p01-s03,This is not the going wisdom these days.,This is not the going wisdom these days.,3.318,待人工听音,待人工听音,needsReview
a09-p02-s01,"If you have researched a trip in, say, the past five to ten ",d a recurring and aggressive directive: TRAVEL LIKE A LOCAL!,14.707,待人工听音,待人工听音,needsReview
a09-p02-s02,"You've probably also seen the entreaty, the shaming: How to ",ist; How to Not Act like a Tourist; How to Not Be a Tourist.,12.460,待人工听音,待人工听音,needsReview
a09-p03-s01,"On the surface, the promise is an attractive one: You're get", best places to eat and shop with none of the tourist traps.,13.113,待人工听音,待人工听音,needsReview
a09-p03-s02,You know only the spots that those truly in the know can fin,u know only the spots that those truly in the know can find.,4.650,待人工听音,待人工听音,needsReview
a09-p03-s03,But it's all a complete farce.,But it's all a complete farce.,5.094,待人工听音,待人工听音,needsReview
a09-p03-s04,"At best, ""Travel like a Local"" is a silly paradoxical myth; ","y paradoxical myth; at worst, it's terrible vacation advice.",9.430,待人工听音,待人工听音,needsReview
a09-p04-s01,"For one thing, locals aren't traveling.","For one thing, locals aren't traveling.",3.814,待人工听音,待人工听音,needsReview
a09-p04-s02,They are working.,They are working.,2.456,待人工听音,待人工听音,needsReview
a09-p04-s03,Or folding laundry or cleaning their bathrooms or packing lu,every minute of your free time when you are NOT on vacation.,17.110,待人工听音,待人工听音,needsReview
a09-p04-s04,Locals are not spending leisurely days strolling on stunning,sparkly turquoise waters lapping on fine white-sand beaches.,19.409,待人工听音,待人工听音,needsReview
a09-p04-s05,They are making to-do lists in their heads on cramped mornin,"cy, trying to complete enough tasks before falling into bed.",16.666,待人工听音,待人工听音,needsReview
a09-p04-s06,The whole point of travel is to get away from the humdrum of, of travel is to get away from the humdrum of everyday life.,5.146,待人工听音,待人工听音,needsReview
a09-p04-s07,It is to very much not be a local.,It is to very much not be a local.,3.840,待人工听音,待人工听音,needsReview
a09-p05-s01,Put it this way: You simply cannot travel like a local.,Put it this way: You simply cannot travel like a local.,6.531,待人工听音,待人工听音,needsReview
a09-p05-s02,It is a contradiction in terms.,It is a contradiction in terms.,3.788,待人工听音,待人工听音,needsReview
a09-p05-s03,Staying at a neighborhood Airbnb in Mexico City's Roma doesn,od Airbnb in Mexico City's Roma doesn't make you a Chilango.,6.818,待人工听音,待人工听音,needsReview
a09-p05-s04,Parisians don't nibble on buttery pastries every day for bre,astries every day for breakfast while overlooking the Seine.,11.024,待人工听音,待人工听音,needsReview
a09-p05-s05,And rarely do New Yorkers tuck into a three-hour tasting men,kers tuck into a three-hour tasting menu on a Tuesday night.,4.885,待人工听音,待人工听音,needsReview
a09-p05-s06,And locals certainly don't eat 17 meals in a week at some of," the best—and, at times, most expensive—restaurants in town.",12.199,待人工听音,待人工听音,needsReview
a09-p05-s07,(Perhaps they are saving up to do so when they go on their o,ng up to do so when they go on their own non-local sojourn.),7.367,待人工听音,待人工听音,needsReview
a09-p06-s01,Locals pick up takeout and watch a junky TV drama in their p,pick up takeout and watch a junky TV drama in their pajamas.,7.732,待人工听音,待人工听音,needsReview
a09-p06-s02,They're not going to three museums and a boat tour before dr,"xtiles, which as a non-local you should definitely not miss!",12.095,待人工听音,待人工听音,needsReview
a09-p06-s03,Neither do locals wander around a city with fresh eyes until,der around a city with fresh eyes until their feet are sore.,9.482,待人工听音,待人工听音,needsReview
a09-p06-s04,These are the unique pleasures of being a tourist.,These are the unique pleasures of being a tourist.,5.120,待人工听音,待人工听音,needsReview
a09-p07-s01,Getting the most out of your visit to a place requires ackno,lnerability and that you don't know much and need some help.,13.401,待人工听音,待人工听音,needsReview
a09-p07-s02,There's nothing wrong with that: Remedial cultural lessons a, that: Remedial cultural lessons are both fun and necessary.,8.150,待人工听音,待人工听音,needsReview
a09-p07-s03,"I love taking cooking classes, typically chock-full of naive","rists in dorky aprons, and market tours in different cities.",12.042,待人工听音,待人工听音,needsReview
a09-p07-s04,"Sure, I can and have visited markets without guides and enjo",uldn't intuit on my own makes the experience all the richer.,14.681,待人工听音,待人工听音,needsReview
a09-p08-s01,"More than that, being that vulnerable, ignorant non-local so","le, ignorant non-local sometimes gets you special treatment.",10.188,待人工听音,待人工听音,needsReview
a09-p08-s02,Some of my best travel experiences arose from a very un-loca,ude and the kindness and hospitality shown by actual locals.,13.349,待人工听音,待人工听音,needsReview
a09-p08-s03,"In a small village in northern Thailand, a woman once closed", rice noodle factory when I merely asked her for directions.,17.136,待人工听音,待人工听音,needsReview
a09-p08-s04,"In Kyoto, when I asked about ceramic stores at a small coffe",apanese art of repairing broken pottery with gold or silver.,21.211,待人工听音,待人工听音,needsReview
a09-p08-s05,I've been whisked from an artisan bread bakery to a macaroon,ry to a macaroon shop in Paris by friends with cheery gusto.,8.856,待人工听音,待人工听音,needsReview
a09-p08-s06,Hospitality to visitors is a gift; embrace it with gratitude,"to visitors is a gift; embrace it with gratitude, not shame.",7.889,待人工听音,待人工听音,needsReview
a09-p09-s01,"The bid to ""Travel like a Local""—with suggestions to buy the",tick out as a foreigner—all seems a little middle-schoolish.,17.816,待人工听音,待人工听音,needsReview
